"act_name","section_name","section_id"
"The Indian Penal Code","Section 53A(3) in The Indian Penal Code",1498648
"The Indian Penal Code","Section 53A(4) in The Indian Penal Code",1393088
"The Indian Penal Code","Section 53A(4)(a) in The Indian Penal Code",1858467
"The Indian Penal Code","Section 53A(4)(b) in The Indian Penal Code",1028342
"The Indian Penal Code","Section 54 in The Indian Penal Code",1764008
"The Indian Penal Code","Section 55 in The Indian Penal Code",370128
"The Indian Penal Code","Section 55A in The Indian Penal Code",1703408
"The Indian Penal Code","Section 55A(a) in The Indian Penal Code",1821835
"The Indian Penal Code","Section 55A(b) in The Indian Penal Code",415592
"The Indian Penal Code","Section 56 in The Indian Penal Code",464015
"The Indian Penal Code","Section 57 in The Indian Penal Code",975467
"The Indian Penal Code","Section 58 in The Indian Penal Code",1091779
"The Indian Penal Code","Section 59 in The Indian Penal Code",1305735
"The Indian Penal Code","Section 60 in The Indian Penal Code",1144631
"The Indian Penal Code","Section 61 in The Indian Penal Code",1173866
"The Indian Penal Code","Section 63 in The Indian Penal Code",961907
"The Indian Penal Code","Section 64 in The Indian Penal Code",1314176
"The Indian Penal Code","Section 65 in The Indian Penal Code",26136
"The Indian Penal Code","Section 66 in The Indian Penal Code",1779880
"The Indian Penal Code","Section 67 in The Indian Penal Code",1500319
"The Indian Penal Code","Section 68 in The Indian Penal Code",58854
"The Indian Penal Code","Section 69 in The Indian Penal Code",539183
"The Indian Penal Code","Section 70 in The Indian Penal Code",1617023
"The Indian Penal Code","Section 71 in The Indian Penal Code",396582
"The Indian Penal Code","Section 71(a) in The Indian Penal Code",1012558
"The Indian Penal Code","Section 71(b) in The Indian Penal Code",1363155
"The Indian Penal Code","Section 72 in The Indian Penal Code",823480
"The Indian Penal Code","Section 73 in The Indian Penal Code",1589108
"The Indian Penal Code","Section 74 in The Indian Penal Code",1105025
"The Indian Penal Code","Section 75 in The Indian Penal Code",378408
"The Indian Penal Code","Section 75(a) in The Indian Penal Code",1894622
"The Indian Penal Code","Section 76 in The Indian Penal Code",202169
"The Indian Penal Code","Section 76(a) in The Indian Penal Code",1076438
"The Indian Penal Code","Section 76(b) in The Indian Penal Code",725903
"The Indian Penal Code","Section 77 in The Indian Penal Code",306489
"The Indian Penal Code","Section 78 in The Indian Penal Code",208139
"The Indian Penal Code","Section 79 in The Indian Penal Code",1918278
"The Indian Penal Code","Section 80 in The Indian Penal Code",602933
"The Indian Penal Code","Section 81 in The Indian Penal Code",538716
"The Indian Penal Code","Section 81(a) in The Indian Penal Code",1842141
"The Indian Penal Code","Section 81(b) in The Indian Penal Code",938440
"The Indian Penal Code","Section 82 in The Indian Penal Code",1530896
"The Indian Penal Code","Section 83 in The Indian Penal Code",1703265
"The Indian Penal Code","Section 84 in The Indian Penal Code",1433889
"The Indian Penal Code","Section 85 in The Indian Penal Code",138486
"The Indian Penal Code","Section 86 in The Indian Penal Code",420874
"The Indian Penal Code","Section 87 in The Indian Penal Code",287914
"The Indian Penal Code","Section 88 in The Indian Penal Code",862963
"The Indian Penal Code","Section 89 in The Indian Penal Code",1858333
"The Indian Penal Code","Section 89(First) in The Indian Penal Code",27696165
"The Indian Penal Code","Section 89(Secondly) in The Indian Penal Code",16744523
"The Indian Penal Code","Section 89(Thirdly) in The Indian Penal Code",30748728
"The Indian Penal Code","Section 89(Fourthly) in The Indian Penal Code",6770100
"The Indian Penal Code","Section 90 in The Indian Penal Code",1742535
"The Indian Penal Code","Section 91 in The Indian Penal Code",1957001
"The Indian Penal Code","Section 92 in The Indian Penal Code",870189
"The Indian Penal Code","Section 92(First) in The Indian Penal Code",2277460
"The Indian Penal Code","Section 92(Secondly) in The Indian Penal Code",177168923
"The Indian Penal Code","Section 92(Thirdly) in The Indian Penal Code",44593949
"The Indian Penal Code","Section 92(Fourthly) in The Indian Penal Code",8740288
"The Indian Penal Code","Section 92(Fourthly)(a) in The Indian Penal Code",133838321
"The Indian Penal Code","Section 92(Fourthly)(b) in The Indian Penal Code",197483355
"The Indian Penal Code","Section 92(Fourthly)(c) in The Indian Penal Code",177171328
"The Indian Penal Code","Section 92(Fourthly)(d) in The Indian Penal Code",174564797
"The Indian Penal Code","Section 93 in The Indian Penal Code",1184400
"The Indian Penal Code","Section 94 in The Indian Penal Code",1174913
"The Indian Penal Code","Section 95 in The Indian Penal Code",62835
"The Indian Penal Code","Section 96 in The Indian Penal Code",777353
"The Indian Penal Code","Section 97 in The Indian Penal Code",1499794
"The Indian Penal Code","Section 97(First) in The Indian Penal Code",116325044
"The Indian Penal Code","Section 97(Secondly) in The Indian Penal Code",93777918
"The Indian Penal Code","Section 98 in The Indian Penal Code",1159920
"The Indian Penal Code","Section 98(a) in The Indian Penal Code",885164
"The Indian Penal Code","Section 98(b) in The Indian Penal Code",15030
"The Indian Penal Code","Section 99 in The Indian Penal Code",650803
"The Indian Penal Code","Section 100 in The Indian Penal Code",714464
"The Indian Penal Code","Section 100(First) in The Indian Penal Code",187894963
"The Indian Penal Code","Section 100(Secondly) in The Indian Penal Code",76243000
"The Indian Penal Code","Section 100(Thirdly) in The Indian Penal Code",107378943
"The Indian Penal Code","Section 100(Fourthly) in The Indian Penal Code",37795711
"The Indian Penal Code","Section 100(Fifthly) in The Indian Penal Code",142496480
"The Indian Penal Code","Section 100(Sixthly) in The Indian Penal Code",40081502
"The Indian Penal Code","Section 101 in The Indian Penal Code",399205
"The Indian Penal Code","Section 102 in The Indian Penal Code",1985227
"The Indian Penal Code","Section 103 in The Indian Penal Code",860501
"The Indian Penal Code","Section 103(First) in The Indian Penal Code",18959533
"The Indian Penal Code","Section 103(Secondly) in The Indian Penal Code",194543591
"The Indian Penal Code","Section 103(Thirdly) in The Indian Penal Code",140301972
"The Indian Penal Code","Section 103(Fourthly) in The Indian Penal Code",68694017
"The Indian Penal Code","Section 103(Karnataka) in The Indian Penal Code",54392100
"The Indian Penal Code","Section 103(Karnataka)(i) in The Indian Penal Code",159104462
"The Indian Penal Code","Section 103(Karnataka)(ii) in The Indian Penal Code",181059818
"The Indian Penal Code","Section 103(Karnataka)(ii)(2) in The Indian Penal Code",166056518
"The Indian Penal Code","Section 103(Maharashtra) in The Indian Penal Code",146052308
"The Indian Penal Code","Section 103(Maharashtra)(a) in The Indian Penal Code",26767939
"The Indian Penal Code","Section 103(Maharashtra)(b) in The Indian Penal Code",83161666
"The Indian Penal Code","Section 103(Maharashtra)(c) in The Indian Penal Code",190427701
"The Indian Penal Code","Section 105 in The Indian Penal Code",1944062
"The Indian Penal Code","Section 106 in The Indian Penal Code",1606852
"The Indian Penal Code","Section 107(First) in The Indian Penal Code",140859846
"The Indian Penal Code","Section 107(Secondly) in The Indian Penal Code",13181557
"The Indian Penal Code","Section 108 in The Indian Penal Code",1494082
"The Indian Penal Code","Section 108(a) in The Indian Penal Code",271991
"The Indian Penal Code","Section 108(a) in The Indian Penal Code",271991
"The Indian Penal Code","Section 108(c) in The Indian Penal Code",1835026
"The Indian Penal Code","Section 108(d) in The Indian Penal Code",1355701
"The Indian Penal Code","Section 109 in The Indian Penal Code",513074
"The Indian Penal Code","Section 109(a) in The Indian Penal Code",607056
"The Indian Penal Code","Section 109(b) in The Indian Penal Code",1198272
"The Indian Penal Code","Section 110 in The Indian Penal Code",1504556
"The Indian Penal Code","Section 111 in The Indian Penal Code",1504203
"The Indian Penal Code","Section 111(Proviso)(a) in The Indian Penal Code",155914673
"The Indian Penal Code","Section 111(Proviso)(c) in The Indian Penal Code",145769552
"The Indian Penal Code","Section 112 in The Indian Penal Code",1541278
"The Indian Penal Code","Section 114 in The Indian Penal Code",112749
"The Indian Penal Code","Section 115 in The Indian Penal Code",1075683
"The Indian Penal Code","Section 116 in The Indian Penal Code",609127
"The Indian Penal Code","Section 116(b) in The Indian Penal Code",1527216
"The Indian Penal Code","Section 116(c) in The Indian Penal Code",880237
"The Indian Penal Code","Section 117 in The Indian Penal Code",96849
"The Indian Penal Code","Section 120A in The Indian Penal Code",591631
"The Indian Penal Code","Section 120A(1) in The Indian Penal Code",1345425
"The Indian Penal Code","Section 120B in The Indian Penal Code",1897847
"The Indian Penal Code","Section 120B(1) in The Indian Penal Code",81396
"The Indian Penal Code","Section 120B(2) in The Indian Penal Code",822448
"The Indian Penal Code","Section 121A in The Indian Penal Code",1949191
"The Indian Penal Code","Section 122 in The Indian Penal Code",1661760
"The Indian Penal Code","Section 124 in The Indian Penal Code",1392445
"The Indian Penal Code","Section 124A in The Indian Penal Code",1641007
"The Indian Penal Code","Section 126 in The Indian Penal Code",786873
"The Indian Penal Code","Section 127 in The Indian Penal Code",186208
"The Indian Penal Code","Section 129 in The Indian Penal Code",1042889
"The Indian Penal Code","Section 130 in The Indian Penal Code",1097555
"The Indian Penal Code","Section 132 in The Indian Penal Code",1874283
"The Indian Penal Code","Section 133 in The Indian Penal Code",356470
"The Indian Penal Code","Section 135 in The Indian Penal Code",555656
"The Indian Penal Code","Section 136(Exception) in The Indian Penal Code",9686916
"The Indian Penal Code","Section 137 in The Indian Penal Code",1452939
"The Indian Penal Code","Section 138A in The Indian Penal Code",1411937
"The Indian Penal Code","Section 139 in The Indian Penal Code",64871
"The Indian Penal Code","Section 141 in The Indian Penal Code",1542085
"The Indian Penal Code","Section 141(First) in The Indian Penal Code",195482208
"The Indian Penal Code","Section 141(Third) in The Indian Penal Code",170276286
"The Indian Penal Code","Section 141(Fourth) in The Indian Penal Code",15421721
"The Indian Penal Code","Section 142 in The Indian Penal Code",1364868
"The Indian Penal Code","Section 143 in The Indian Penal Code",1096965
"The Indian Penal Code","Section 144 in The Indian Penal Code",1196530
"The Indian Penal Code","Section 145 in The Indian Penal Code",138788
"The Indian Penal Code","Section 146 in The Indian Penal Code",1601950
"The Indian Penal Code","Section 147 in The Indian Penal Code",1258372
"The Indian Penal Code","Section 148 in The Indian Penal Code",763672
"The Indian Penal Code","Section 149 in The Indian Penal Code",999134
"The Indian Penal Code","Section 150 in The Indian Penal Code",737087
"The Indian Penal Code","Section 152 in The Indian Penal Code",1506699
"The Indian Penal Code","Section 153 in The Indian Penal Code",857209
"The Indian Penal Code","Section 153A in The Indian Penal Code",345634
"The Indian Penal Code","Section 153A(1)(a) in The Indian Penal Code",1102504
"The Indian Penal Code","Section 153A(1)(b) in The Indian Penal Code",1361857
"The Indian Penal Code","Section 153B in The Indian Penal Code",771276
"The Indian Penal Code","Section 153B(1) in The Indian Penal Code",1928242
"The Indian Penal Code","Section 153B(1)(b) in The Indian Penal Code",1811556
"The Indian Penal Code","Section 153B(2) in The Indian Penal Code",1054720
"The Indian Penal Code","Section 154 in The Indian Penal Code",1034470
"The Indian Penal Code","Section 156 in The Indian Penal Code",833310
"The Indian Penal Code","Section 157 in The Indian Penal Code",1773948
"The Indian Penal Code","Section 158 in The Indian Penal Code",227771
"The Indian Penal Code","Section 160 in The Indian Penal Code",518086
"The Indian Penal Code","Section 161 in The Indian Penal Code",48127346
"The Indian Penal Code","Section 162 in The Indian Penal Code",108500659
"The Indian Penal Code","Section 164 in The Indian Penal Code",78014276
"The Indian Penal Code","Section 165 in The Indian Penal Code",126359453
"The Indian Penal Code","Section 166 in The Indian Penal Code",570574
"The Indian Penal Code","Section 167 in The Indian Penal Code",1815602
"The Indian Penal Code","Section 168 in The Indian Penal Code",9353
"The Indian Penal Code","Section 170 in The Indian Penal Code",159157
"The Indian Penal Code","Section 171 in The Indian Penal Code",1408303
"The Indian Penal Code","Section 171A(a) in The Indian Penal Code",83989
"The Indian Penal Code","Section 171B in The Indian Penal Code",298814
"The Indian Penal Code","Section 171B(1) in The Indian Penal Code",511785
"The Indian Penal Code","Section 171B(1)(i) in The Indian Penal Code",764852
"The Indian Penal Code","Section 171B(2) in The Indian Penal Code",1645926
"The Indian Penal Code","Section 171B(3) in The Indian Penal Code",1132618
"The Indian Penal Code","Section 171C(1) in The Indian Penal Code",494088
"The Indian Penal Code","Section 171C(2) in The Indian Penal Code",803249
"The Indian Penal Code","Section 171C(2)(b) in The Indian Penal Code",1732104
"The Indian Penal Code","Section 171D in The Indian Penal Code",1987204
"The Indian Penal Code","Section 171E in The Indian Penal Code",1521382
"The Indian Penal Code","Section 171G in The Indian Penal Code",872881
"The Indian Penal Code","Section 171H in The Indian Penal Code",76721
"The Indian Penal Code","Section 173 in The Indian Penal Code",1187622
"The Indian Penal Code","Section 174 in The Indian Penal Code",456664
"The Indian Penal Code","Section 174(a) in The Indian Penal Code",1995369
"The Indian Penal Code","Section 174A in The Indian Penal Code",119436650
"The Indian Penal Code","Section 174A(1) in The Indian Penal Code",55977849
"The Indian Penal Code","Section 176 in The Indian Penal Code",641385
"The Indian Penal Code","Section 176(1) in The Indian Penal Code",191514436
"The Indian Penal Code","Section 177(a) in The Indian Penal Code",16728
"The Indian Penal Code","Section 178 in The Indian Penal Code",1544991
"The Indian Penal Code","Section 179 in The Indian Penal Code",1380952
"The Indian Penal Code","Section 180 in The Indian Penal Code",1658410
"The Indian Penal Code","Section 182 in The Indian Penal Code",534484
"The Indian Penal Code","Section 182(a) in The Indian Penal Code",801371
"The Indian Penal Code","Section 182(a) in The Indian Penal Code",801371
"The Indian Penal Code","Section 182(b) in The Indian Penal Code",1023236
"The Indian Penal Code","Section 183 in The Indian Penal Code",1257136
"The Indian Penal Code","Section 184 in The Indian Penal Code",1177574
"The Indian Penal Code","Section 186 in The Indian Penal Code",488479
"The Indian Penal Code","Section 187 in The Indian Penal Code",697568
"The Indian Penal Code","Section 189 in The Indian Penal Code",454796
"The Indian Penal Code","Section 190 in The Indian Penal Code",276703
"The Indian Penal Code","Section 191(a) in The Indian Penal Code",265754
"The Indian Penal Code","Section 191(b) in The Indian Penal Code",1539592
"The Indian Penal Code","Section 191(d) in The Indian Penal Code",1823184
"The Indian Penal Code","Section 191(e) in The Indian Penal Code",772652
"The Indian Penal Code","Section 192(a) in The Indian Penal Code",167554
"The Indian Penal Code","Section 192(b) in The Indian Penal Code",1814231
"The Indian Penal Code","Section 193 in The Indian Penal Code",308396
"The Indian Penal Code","Section 194 in The Indian Penal Code",1274033
"The Indian Penal Code","Section 195A in The Indian Penal Code",76352360
"The Indian Penal Code","Section 196 in The Indian Penal Code",814524
"The Indian Penal Code","Section 198 in The Indian Penal Code",373409
"The Indian Penal Code","Section 199 in The Indian Penal Code",739296
"The Indian Penal Code","Section 201 in The Indian Penal Code",386021
"The Indian Penal Code","Section 202 in The Indian Penal Code",162723
"The Indian Penal Code","Section 204 in The Indian Penal Code",1905618
"The Indian Penal Code","Section 205 in The Indian Penal Code",1346193
"The Indian Penal Code","Section 206 in The Indian Penal Code",455873
"The Indian Penal Code","Section 208 in The Indian Penal Code",844323
"The Indian Penal Code","Section 210 in The Indian Penal Code",206797
"The Indian Penal Code","Section 211 in The Indian Penal Code",172919
"The Indian Penal Code","Section 212 in The Indian Penal Code",66955
"The Indian Penal Code","Section 213 in The Indian Penal Code",340188
"The Indian Penal Code","Section 214 in The Indian Penal Code",1156930
"The Indian Penal Code","Section 216 in The Indian Penal Code",1865807
"The Indian Penal Code","Section 216(Exception) in The Indian Penal Code",115813370
"The Indian Penal Code","Section 216A(Exception) in The Indian Penal Code",79075967
"The Indian Penal Code","Section 216B in The Indian Penal Code",104723
"The Indian Penal Code","Section 217 in The Indian Penal Code",1441158
"The Indian Penal Code","Section 219 in The Indian Penal Code",311136
"The Indian Penal Code","Section 220 in The Indian Penal Code",218156
"The Indian Penal Code","Section 222 in The Indian Penal Code",384218
"The Indian Penal Code","Section 223 in The Indian Penal Code",1375217
"The Indian Penal Code","Section 224 in The Indian Penal Code",1522870
"The Indian Penal Code","Section 225A in The Indian Penal Code",1452470
"The Indian Penal Code","Section 225A(a) in The Indian Penal Code",257066
"The Indian Penal Code","Section 225B in The Indian Penal Code",824298
"The Indian Penal Code","Section 227 in The Indian Penal Code",470297
"The Indian Penal Code","Section 228 in The Indian Penal Code",1969991
"The Indian Penal Code","Section 228A in The Indian Penal Code",1696350
"The Indian Penal Code","Section 228A(2) in The Indian Penal Code",177666
"The Indian Penal Code","Section 228A(2)(a) in The Indian Penal Code",383815
"The Indian Penal Code","Section 228A(2)(c) in The Indian Penal Code",473434
"The Indian Penal Code","Section 228A(3) in The Indian Penal Code",1564789
"The Indian Penal Code","Section 229A in The Indian Penal Code",77781517
"The Indian Penal Code","Section 229A(a) in The Indian Penal Code",168022094
"The Indian Penal Code","Section 230 in The Indian Penal Code",137348
"The Indian Penal Code","Section 230(b) in The Indian Penal Code",1410482
"The Indian Penal Code","Section 230(c) in The Indian Penal Code",1908063
"The Indian Penal Code","Section 230(e) in The Indian Penal Code",88051
"The Indian Penal Code","Section 231 in The Indian Penal Code",1241643
"The Indian Penal Code","Section 233 in The Indian Penal Code",1419576
"The Indian Penal Code","Section 234 in The Indian Penal Code",1572307
"The Indian Penal Code","Section 236 in The Indian Penal Code",1446884
"The Indian Penal Code","Section 237 in The Indian Penal Code",1688599
"The Indian Penal Code","Section 239 in The Indian Penal Code",1572967
"The Indian Penal Code","Section 240 in The Indian Penal Code",326674
"The Indian Penal Code","Section 242 in The Indian Penal Code",1763332
"The Indian Penal Code","Section 243 in The Indian Penal Code",635719
"The Indian Penal Code","Section 245 in The Indian Penal Code",901796
"The Indian Penal Code","Section 247 in The Indian Penal Code",1860198
"The Indian Penal Code","Section 249 in The Indian Penal Code",491811
"The Indian Penal Code","Section 250 in The Indian Penal Code",1915517
"The Indian Penal Code","Section 252 in The Indian Penal Code",1489236
"The Indian Penal Code","Section 253 in The Indian Penal Code",1465779
"The Indian Penal Code","Section 255 in The Indian Penal Code",1305169
"The Indian Penal Code","Section 256 in The Indian Penal Code",1520867
"The Indian Penal Code","Section 258 in The Indian Penal Code",1585428
"The Indian Penal Code","Section 259 in The Indian Penal Code",974300
"The Indian Penal Code","Section 261 in The Indian Penal Code",458143
"The Indian Penal Code","Section 262 in The Indian Penal Code",1321901
"The Indian Penal Code","Section 263A in The Indian Penal Code",1851254
"The Indian Penal Code","Section 263A(1) in The Indian Penal Code",1036515
"The Indian Penal Code","Section 263A(1)(b) in The Indian Penal Code",1025417
"The Indian Penal Code","Section 263A(1)(c) in The Indian Penal Code",1900259
"The Indian Penal Code","Section 263A(3) in The Indian Penal Code",1930978
"The Indian Penal Code","Section 264 in The Indian Penal Code",1999051
"The Indian Penal Code","Section 265 in The Indian Penal Code",1783774
"The Indian Penal Code","Section 267 in The Indian Penal Code",1518251
"The Indian Penal Code","Section 268 in The Indian Penal Code",209076
"The Indian Penal Code","Section 270 in The Indian Penal Code",1164731
"The Indian Penal Code","Section 271 in The Indian Penal Code",1726256
"The Indian Penal Code","Section 273 in The Indian Penal Code",285163
"The Indian Penal Code","Section 274 in The Indian Penal Code",261128
"The Indian Penal Code","Section 275 in The Indian Penal Code",1565155
"The Indian Penal Code","Section 277 in The Indian Penal Code",1374604
"The Indian Penal Code","Section 278 in The Indian Penal Code",1368265
"The Indian Penal Code","Section 280 in The Indian Penal Code",1573258
"The Indian Penal Code","Section 281 in The Indian Penal Code",52012
"The Indian Penal Code","Section 283 in The Indian Penal Code",1162540
"The Indian Penal Code","Section 284 in The Indian Penal Code",1074140
"The Indian Penal Code","Section 286 in The Indian Penal Code",980159
"The Indian Penal Code","Section 287 in The Indian Penal Code",180291
"The Indian Penal Code","Section 289 in The Indian Penal Code",1162492
"The Indian Penal Code","Section 290 in The Indian Penal Code",1099867
"The Indian Penal Code","Section 292 in The Indian Penal Code",1704109
"The Indian Penal Code","Section 292(1) in The Indian Penal Code",615529
"The Indian Penal Code","Section 292(2)(a) in The Indian Penal Code",1383076
"The Indian Penal Code","Section 292(2)(b) in The Indian Penal Code",1596862
"The Indian Penal Code","Section 292(2)(d) in The Indian Penal Code",149846
"The Indian Penal Code","Section 292(2)(e) in The Indian Penal Code",206363
"The Indian Penal Code","Section 292(2)(e)(Exception)(a) in The Indian Penal Code",28412657
"The Indian Penal Code","Section 292(2)(e)(Exception)(b) in The Indian Penal Code",45287460
"The Indian Penal Code","Section 294 in The Indian Penal Code",594493
"The Indian Penal Code","Section 294(a) in The Indian Penal Code",1600124
"The Indian Penal Code","Section 294A in The Indian Penal Code",440731
"The Indian Penal Code","Section 295 in The Indian Penal Code",305995
"The Indian Penal Code","Section 296 in The Indian Penal Code",1064219
"The Indian Penal Code","Section 297 in The Indian Penal Code",15048
"The Indian Penal Code","Section 299 in The Indian Penal Code",305371
"The Indian Penal Code","Section 299(a) in The Indian Penal Code",333705
"The Indian Penal Code","Section 299(c) in The Indian Penal Code",642470
"The Indian Penal Code","Section 300 in The Indian Penal Code",626019
"The Indian Penal Code","Section 300(Thirdly) in The Indian Penal Code",134179032
"The Indian Penal Code","Section 300(Fourthly) in The Indian Penal Code",36961205
"The Indian Penal Code","Section 300(Fourthly)(b) in The Indian Penal Code",46610562
"The Indian Penal Code","Section 300(Fourthly)(d) in The Indian Penal Code",122104282
"The Indian Penal Code","Section 300(First) in The Indian Penal Code",178163194
"The Indian Penal Code","Section 300(Thirdly) in The Indian Penal Code",134179032
"The Indian Penal Code","Section 300(Thirdly)(a) in The Indian Penal Code",147489061
"The Indian Penal Code","Section 300(Thirdly)(c) in The Indian Penal Code",179562156
"The Indian Penal Code","Section 300(Thirdly)(d) in The Indian Penal Code",79186850
"The Indian Penal Code","Section 300(Thirdly)(f) in The Indian Penal Code",132639541
"The Indian Penal Code","Section 302 in The Indian Penal Code",1560742
"The Indian Penal Code","Section 303 in The Indian Penal Code",793437
"The Indian Penal Code","Section 304 in The Indian Penal Code",409589
"The Indian Penal Code","Section 304B in The Indian Penal Code",653797
"The Indian Penal Code","Section 304B(1) in The Indian Penal Code",98282
